date,sentiment
2017-01-11 00:40:41,0.375
2017-01-10 23:58:08,0
2017-01-10 23:57:02,-0.375
2017-01-08 13:46:14,0
2017-01-08 13:43:14,1.25
2017-01-08 13:41:05,-1
2017-01-07 03:55:41,0
2017-01-06 23:12:16,0
2017-01-05 21:40:17,0.25
2016-12-31 21:30:05,0.625
2016-12-31 02:47:28,0
2016-12-31 02:40:28,-1.125
2016-12-31 02:34:09,-0.5
2016-12-30 19:44:02,0
2016-12-30 14:14:30,0
2016-12-30 00:21:48,-0.5
2016-12-27 21:01:43,0.125
2016-12-24 23:21:57,0.375
2016-12-24 20:07:00,-0.5
2016-12-24 17:21:58,-0.375
2016-12-24 17:18:06,0
2016-12-24 17:15:39,-0.5
2016-12-24 17:13:25,1.125
2016-12-24 16:54:46,-0.25
2016-12-24 16:41:28,0
2016-12-24 16:15:52,0
2016-12-24 16:10:41,-0.25
2016-12-24 16:03:28,-0.125
2016-12-24 16:02:02,0.875
2016-12-24 15:57:19,0.125
2016-12-24 01:02:18,0.625
2016-12-24 00:58:16,0.75
2016-12-23 23:34:28,0.125
2016-12-23 23:30:02,0
2016-12-23 23:29:15,0.875
2016-12-23 01:24:40,0
2016-12-23 01:24:10,0.375
2016-12-23 01:23:40,0
2016-12-23 01:20:25,-0.25
2016-12-23 01:18:56,-0.5
2016-12-23 01:01:52,0.125
2016-12-22 21:15:40,-0.375
2016-12-22 00:59:57,0
2016-12-21 16:27:39,0
2016-12-18 04:13:06,0
2016-12-18 03:57:16,0.375
2016-12-17 16:17:07,-0.125
2016-12-17 14:52:16,-0.875
2016-12-17 14:16:22,0
2016-12-17 14:15:54,0
2016-12-17 13:05:54,0.125
2016-12-11 03:21:00,0
2016-12-11 03:20:26,-0.5
2016-12-09 22:42:30,0
2016-12-08 21:31:04,0.75
2016-12-07 08:26:29,0.625
2016-12-05 19:53:52,0
2016-12-05 08:54:37,0
2016-12-01 06:07:05,-0.5
2016-11-28 16:08:16,0
2016-11-27 03:00:41,-0.5
2016-11-23 23:45:51,0
2016-11-23 23:35:04,0
2016-11-23 23:33:09,0.25
2016-11-22 18:04:33,0.5
2016-11-22 17:28:00,0
2016-11-22 17:20:12,0
2016-11-22 16:12:22,0
2016-11-22 16:10:18,0.75
2016-11-22 15:39:01,0.25
2016-11-22 15:36:00,0
